Year,Month,Core,Water vol.,Dependent Variable,Temperature,d13C-CO2,d13C-CH4,TN,TOC,TC,CN,Corg,BD 10cm,WC 10cm,BD 3cm,WC 3cm,Soil volume,Salinity
2023,3,3,0,12481.58691,24.4,-8.801,-46.458,0.0732,0.942736924,6.752701759,15.02626237,3.082,1.32,30.05,1.09,42.06,1076.063588,
2023,3,4,0,31378.4626,24.4,-9.395,-54.839,0.044235136,0.597741902,6.200928688,15.75806874,2.466,1.32,26.28,1.38,29.36,880.5753217,
2023,4,1,508,46.65816128,29.3,-11.368,-47.243,0.0498,0.530687869,6.871526718,12.43704429,2.014,1.25,36.08,1.27,39.21,957.66,
2023,4,2,611,-434.1621006,29.3,-11.431,-45.648,0.048,0.66540122,7.490673542,16.17597101,2.276,1.41,37.13,1.14,42.97,867.45,
2023,4,3,545,-161.6983642,29.3,-11.434,-46.21,0.0743,0.855799437,7.302248001,13.42471425,3.007,1.43,34.53,1.17,45.57,950.72,
2023,4,4,514,-90.88043708,29.3,-12.81,-46.897,0.046,0.543355286,6.544710159,13.7738649,2.333,1.5,31.06,1.43,34.37,943.78,
2023,5,1,0,9402.646982,30.1,-12.791,-49.654,0.088829331,0.940096855,7.386768818,12.34163983,2.917,1.2,34.08,1.03,44.41,707.84,
2023,5,2,0,36128.8274,30.1,-13.075,-49.207,0.0613,0.799200594,6.888543129,15.19881063,2.8,1.48,29.94,1.17,38.13,867.45,
2023,5,3,0,60988.55141,30.1,-12.844,-50.062,0.057,0.680963576,6.250133514,13.93331126,2.05,1.42,33.42,1,43.05,728.66,
2023,5,4,0,44055.98434,30.1,-12.884,-49.816,0.0837,0.982973695,6.91299057,13.69639223,3.193,1.47,31.51,1.08,41.2,943.78,
